0.0001,0,30.203
0.0005,0.6667,30.21
0.001,0.6667,29.446
0.003,1,29.67
0.005,1,
0.01,1,30.4
0.05,1,29.815
0.1,0.8333,29.479
0.5,0.3333,30.128
0.8,0.3333,30.712
1,0.3333,30.149
